Date,ZHVI,MORTGAGE30US,ZHVI_Lag1,Rate_Lag1,Target_Next_Month_ZHVI
2007-12-01,544786.9956513293,6.095,551165.5115449874,6.208,538669.4894483836
2008-01-01,538669.4894483836,5.758,544786.9956513293,6.095,530465.8716599173
2008-02-01,530465.8716599173,5.9175,538669.4894483836,5.758,521000.96040793904
2008-03-01,521000.96040793904,5.97,530465.8716599173,5.9175,508771.704638877
2008-04-01,508771.704638877,5.9175,521000.96040793904,5.97,495404.4258272828
2008-05-01,495404.4258272828,6.036,508771.704638877,5.9175,482462.0078794213
2008-06-01,482462.0078794213,6.32,495404.4258272828,6.036,470499.5454118694
2008-07-01,470499.5454118694,6.425999999999999,482462.0078794213,6.32,459922.283255134
2008-08-01,459922.283255134,6.4775,470499.5454118694,6.425999999999999,451816.0739053048
2008-09-01,451816.0739053048,6.0375,459922.283255134,6.4775,444517.6635129707
2008-10-01,444517.6635129707,6.2,451816.0739053048,6.0375,437058.76601308415
2008-11-01,437058.76601308415,6.0875,444517.6635129707,6.2,427799.6531490363
2008-12-01,427799.6531490363,5.286,437058.76601308415,6.0875,419981.6396197185
2009-01-01,419981.6396197185,5.047499999999999,427799.6531490363,5.286,414876.2944181693
2009-02-01,414876.2944181693,5.13,419981.6396197185,5.047499999999999,411338.13600523135
2009-03-01,411338.13600523135,5.0025,414876.2944181693,5.13,408220.1362588264
2009-04-01,408220.1362588264,4.8100000000000005,411338.13600523135,5.0025,405137.3509039087
2009-05-01,405137.3509039087,4.8575,408220.1362588264,4.8100000000000005,401637.987369568
2009-06-01,401637.987369568,5.42,405137.3509039087,4.8575,398783.3121261883
2009-07-01,398783.3121261883,5.2219999999999995,401637.987369568,5.42,396791.3583030167
2009-08-01,396791.3583030167,5.1925,398783.3121261883,5.2219999999999995,396240.0583290705
2009-09-01,396240.0583290705,5.0575,396791.3583030167,5.1925,396497.1094098308
2009-10-01,396497.1094098308,4.952,396240.0583290705,5.0575,398442.00749486353
2009-11-01,398442.00749486353,4.875,396497.1094098308,4.952,402131.0240219841
2009-12-01,402131.0240219841,4.93,398442.00749486353,4.875,404444.6124924759
2010-01-01,404444.6124924759,5.03,402131.0240219841,4.93,404758.4261534245
2010-02-01,404758.4261534245,4.99,404444.6124924759,5.03,404990.5771640629
2010-03-01,404990.5771640629,4.9675,404758.4261534245,4.99,406958.9257303073
2010-04-01,406958.9257303073,5.098000000000001,404990.5771640629,4.9675,409859.7406045367
2010-05-01,409859.7406045367,4.8875,406958.9257303073,5.098000000000001,410075.70209934143
2010-06-01,410075.70209934143,4.7375,409859.7406045367,4.8875,408304.8799162286
2010-07-01,408304.8799162286,4.564,410075.70209934143,4.7375,404665.7895114692
2010-08-01,404665.7895114692,4.4275,408304.8799162286,4.564,400882.1380970481
2010-09-01,400882.1380970481,4.346,404665.7895114692,4.4275,397081.5715485189
2010-10-01,397081.5715485189,4.225,400882.1380970481,4.346,393517.91392073705
2010-11-01,393517.91392073705,4.3,397081.5715485189,4.225,391574.6306149892
2010-12-01,391574.6306149892,4.714,393517.91392073705,4.3,390499.7740360988
2011-01-01,390499.7740360988,4.755,391574.6306149892,4.714,390419.1076647095
2011-02-01,390419.1076647095,4.9525,390499.7740360988,4.755,389208.29693556647
2011-03-01,389208.29693556647,4.836,390419.1076647095,4.9525,387636.4610900412
2011-04-01,387636.4610900412,4.84,389208.29693556647,4.836,383791.4009898172
2011-05-01,383791.4009898172,4.6375,387636.4610900412,4.84,381708.250363682
2011-06-01,381708.250363682,4.51,383791.4009898172,4.6375,380179.5529650608
2011-07-01,380179.5529650608,4.545,381708.250363682,4.51,378434.6257449396
2011-08-01,378434.6257449396,4.27,380179.5529650608,4.545,375043.1831648606
2011-09-01,375043.1831648606,4.106,378434.6257449396,4.27,371366.47666345537
2011-10-01,371366.47666345537,4.0675,375043.1831648606,4.106,369955.44218788814
2011-11-01,369955.44218788814,3.9925,371366.47666345537,4.0675,369657.9481998704
2011-12-01,369657.9481998704,3.9579999999999997,369955.44218788814,3.9925,369134.1599764459
2012-01-01,369134.1599764459,3.915,369657.9481998704,3.9579999999999997,367564.6246331765
2012-02-01,367564.6246331765,3.89,369134.1599764459,3.915,365051.8434521624
2012-03-01,365051.8434521624,3.9539999999999997,367564.6246331765,3.89,362774.60803692206
2012-04-01,362774.60803692206,3.91,365051.8434521624,3.9539999999999997,361681.9703835494
2012-05-01,361681.9703835494,3.7979999999999996,362774.60803692206,3.91,362077.9482115277
2012-06-01,362077.9482115277,3.675,361681.9703835494,3.7979999999999996,363980.7911940476
2012-07-01,363980.7911940476,3.55,362077.9482115277,3.675,368023.8347551164
2012-08-01,368023.8347551164,3.6019999999999994,363980.7911940476,3.55,373791.1400418858
2012-09-01,373791.1400418858,3.4975,368023.8347551164,3.6019999999999994,380637.9807911175
2012-10-01,380637.9807911175,3.3825000000000003,373791.1400418858,3.4975,387781.2109118675
2012-11-01,387781.2109118675,3.3519999999999994,380637.9807911175,3.3825000000000003,394829.41268504434
2012-12-01,394829.41268504434,3.3449999999999998,387781.2109118675,3.3519999999999994,400353.1343847154
2013-01-01,400353.1343847154,3.414,394829.41268504434,3.3449999999999998,403902.2932288337
2013-02-01,403902.2932288337,3.5324999999999998,400353.1343847154,3.414,405907.9648239124
2013-03-01,405907.9648239124,3.565,403902.2932288337,3.5324999999999998,408923.3270572072
2013-04-01,408923.3270572072,3.4450000000000003,405907.9648239124,3.565,414145.5742006071
2013-05-01,414145.5742006071,3.536,408923.3270572072,3.4450000000000003,421170.6443950346
2013-06-01,421170.6443950346,4.07,414145.5742006071,3.536,428898.3357620786
2013-07-01,428898.3357620786,4.37,421170.6443950346,4.07,436941.919946918
2013-08-01,436941.919946918,4.456,428898.3357620786,4.37,445491.9565248482
2013-09-01,445491.9565248482,4.49,436941.919946918,4.456,454086.4400272949
2013-10-01,454086.4400272949,4.192,445491.9565248482,4.49,461393.6216648945
2013-11-01,461393.6216648945,4.255,454086.4400272949,4.192,467217.0173500988
2013-12-01,467217.0173500988,4.4575,461393.6216648945,4.255,470290.9509123869
2014-01-01,470290.9509123869,4.432,467217.0173500988,4.4575,471685.5793903571
2014-02-01,471685.5793903571,4.3025,470290.9509123869,4.432,472152.3357815598
2014-03-01,472152.3357815598,4.3425,471685.5793903571,4.3025,473764.1128032962
2014-04-01,473764.1128032962,4.3375,472152.3357815598,4.3425,475920.5030716304
2014-05-01,475920.5030716304,4.192,473764.1128032962,4.3375,477954.21172110696
2014-06-01,477954.21172110696,4.1625,475920.5030716304,4.192,479870.0153944576
2014-07-01,479870.0153944576,4.13,477954.21172110696,4.1625,482455.2377975539
2014-08-01,482455.2377975539,4.115,479870.0153944576,4.13,486904.8708182497
2014-09-01,486904.8708182497,4.1625,482455.2377975539,4.115,492115.7576402573
2014-10-01,492115.7576402573,4.036,486904.8708182497,4.1625,497743.2924537783
2014-11-01,497743.2924537783,3.9975,492115.7576402573,4.036,502652.6929341797
2014-12-01,502652.6929341797,3.864,497743.2924537783,3.9975,506045.6120981358
2015-01-01,506045.6120981358,3.67,502652.6929341797,3.864,507809.1198327124
2015-02-01,507809.1198327124,3.71,506045.6120981358,3.67,508185.0774091522
2015-03-01,508185.0774091522,3.77,507809.1198327124,3.71,508331.9576881805
2015-04-01,508331.9576881805,3.6719999999999997,508185.0774091522,3.77,508963.1669465013
2015-05-01,508963.1669465013,3.84,508331.9576881805,3.6719999999999997,510219.5912701336
2015-06-01,510219.5912701336,3.9825,508963.1669465013,3.84,510960.46059642587
2015-07-01,510960.46059642587,4.046,510219.5912701336,3.9825,509819.2716479935
2015-08-01,509819.2716479935,3.9050000000000002,510960.46059642587,4.046,506912.9647443073
2015-09-01,506912.9647443073,3.89,509819.2716479935,3.9050000000000002,503463.5327162665
2015-10-01,503463.5327162665,3.7960000000000003,506912.9647443073,3.89,499820.1150141907
2015-11-01,499820.1150141907,3.9425,503463.5327162665,3.7960000000000003,496448.3337364888
2015-12-01,496448.3337364888,3.964,499820.1150141907,3.9425,498973.7772148094
2016-01-01,498973.7772148094,3.8725,496448.3337364888,3.964,507651.99522440246
2016-02-01,507651.99522440246,3.66,498973.7772148094,3.8725,519659.2545964348
2016-03-01,519659.2545964348,3.694,507651.99522440246,3.66,528757.3890702104
2016-04-01,528757.3890702104,3.605,519659.2545964348,3.694,534440.5090671318
2016-05-01,534440.5090671318,3.6,528757.3890702104,3.605,539032.3851636276
2016-06-01,539032.3851636276,3.568,534440.5090671318,3.6,539606.7449742263
2016-07-01,539606.7449742263,3.44,539032.3851636276,3.568,536170.2178817262
2016-08-01,536170.2178817262,3.435,539606.7449742263,3.44,529665.8902820527
2016-09-01,529665.8902820527,3.46,536170.2178817262,3.435,525087.1925958163
2016-10-01,525087.1925958163,3.47,529665.8902820527,3.46,524052.665194956
2016-11-01,524052.665194956,3.77,525087.1925958163,3.47,525846.713607478
2016-12-01,525846.713607478,4.198,524052.665194956,3.77,533662.7234191309
2017-01-01,533662.7234191309,4.15,525846.713607478,4.198,545219.4947570942
2017-02-01,545219.4947570942,4.1675,533662.7234191309,4.15,558724.1803352451
2017-03-01,558724.1803352451,4.196,545219.4947570942,4.1675,568454.7250132755
2017-04-01,568454.7250132755,4.045,558724.1803352451,4.196,575093.3125613962
2017-05-01,575093.3125613962,4.01,568454.7250132755,4.045,580052.3584446169
2017-06-01,580052.3584446169,3.904,575093.3125613962,4.01,581167.6948619873
2017-07-01,581167.6948619873,3.9675000000000002,580052.3584446169,3.904,581039.9878942054
2017-08-01,581039.9878942054,3.88,581167.6948619873,3.9675000000000002,580714.0528599126
2017-09-01,580714.0528599126,3.8049999999999997,581039.9878942054,3.88,584026.1831299214
2017-10-01,584026.1831299214,3.895,580714.0528599126,3.8049999999999997,588136.6648469012
2017-11-01,588136.6648469012,3.9219999999999997,584026.1831299214,3.895,593127.2978555904
2017-12-01,593127.2978555904,3.95,588136.6648469012,3.9219999999999997,599666.8304395882
2018-01-01,599666.8304395882,4.032500000000001,593127.2978555904,3.95,607631.7395936348
2018-02-01,607631.7395936348,4.33,599666.8304395882,4.032500000000001,615196.4504993045
