Date,ZHVI,MORTGAGE30US
2012-06-01,362077.9482115277,3.675
2012-07-01,363980.7911940476,3.55
2012-08-01,368023.8347551164,3.6019999999999994
2012-09-01,373791.1400418858,3.4975
2012-10-01,380637.9807911175,3.3825000000000003
2012-11-01,387781.2109118675,3.3519999999999994
2012-12-01,394829.41268504434,3.3449999999999998
2013-01-01,400353.1343847154,3.414
2013-02-01,403902.2932288337,3.5324999999999998
2013-03-01,405907.9648239124,3.565
2013-04-01,408923.3270572072,3.4450000000000003
2013-05-01,414145.5742006071,3.536
2013-06-01,421170.6443950346,4.07
2013-07-01,428898.3357620786,4.37
2013-08-01,436941.919946918,4.456
2013-09-01,445491.9565248482,4.49
2013-10-01,454086.4400272949,4.192
2013-11-01,461393.6216648945,4.255
2013-12-01,467217.0173500988,4.4575
2014-01-01,470290.9509123869,4.432
2014-02-01,471685.5793903571,4.3025
2014-03-01,472152.3357815598,4.3425
2014-04-01,473764.1128032962,4.3375
2014-05-01,475920.5030716304,4.192
2014-06-01,477954.21172110696,4.1625
2014-07-01,479870.0153944576,4.13
2014-08-01,482455.2377975539,4.115
2014-09-01,486904.8708182497,4.1625
2014-10-01,492115.7576402573,4.036
2014-11-01,497743.2924537783,3.9975
2014-12-01,502652.6929341797,3.864
2015-01-01,506045.6120981358,3.67
2015-02-01,507809.1198327124,3.71
2015-03-01,508185.0774091522,3.77
2015-04-01,508331.9576881805,3.6719999999999997
2015-05-01,508963.1669465013,3.84
2015-06-01,510219.5912701336,3.9825
2015-07-01,510960.46059642587,4.046
2015-08-01,509819.2716479935,3.9050000000000002
2015-09-01,506912.9647443073,3.89
2015-10-01,503463.5327162665,3.7960000000000003
2015-11-01,499820.1150141907,3.9425
2015-12-01,496448.3337364888,3.964
2016-01-01,498973.7772148094,3.8725
2016-02-01,507651.99522440246,3.66
2016-03-01,519659.2545964348,3.694
2016-04-01,528757.3890702104,3.605
2016-05-01,534440.5090671318,3.6
2016-06-01,539032.3851636276,3.568
2016-07-01,539606.7449742263,3.44
2016-08-01,536170.2178817262,3.435
2016-09-01,529665.8902820527,3.46
2016-10-01,525087.1925958163,3.47
2016-11-01,524052.665194956,3.77
2016-12-01,525846.713607478,4.198
2017-01-01,533662.7234191309,4.15
2017-02-01,545219.4947570942,4.1675
2017-03-01,558724.1803352451,4.196
2017-04-01,568454.7250132755,4.045
2017-05-01,575093.3125613962,4.01
2017-06-01,580052.3584446169,3.904
2017-07-01,581167.6948619873,3.9675000000000002
2017-08-01,581039.9878942054,3.88
2017-09-01,580714.0528599126,3.8049999999999997
2017-10-01,584026.1831299214,3.895
2017-11-01,588136.6648469012,3.9219999999999997
2017-12-01,593127.2978555904,3.95
2018-01-01,599666.8304395882,4.032500000000001
2018-02-01,607631.7395936348,4.33
2018-03-01,615196.4504993045,4.444
2018-04-01,620956.461316638,4.4675
2018-05-01,625574.4268143884,4.586
2018-06-01,629040.0876088454,4.57
2018-07-01,632666.7876336371,4.5275
2018-08-01,638123.3935660593,4.55
2018-09-01,645405.6279433011,4.6274999999999995
2018-10-01,653140.2942431325,4.83
2018-11-01,658616.6947206616,4.866
2018-12-01,661535.5449691159,4.6375
2019-01-01,659114.4186018776,4.464
2019-02-01,652801.6087099202,4.37
2019-03-01,645112.7647467162,4.265
2019-04-01,640211.7542589392,4.1425
2019-05-01,637715.7181439105,4.072
2019-06-01,636451.7926285611,3.8024999999999998
2019-07-01,637278.4227399522,3.765
2019-08-01,641052.2834393887,3.6159999999999997
2019-09-01,647255.4993296043,3.605
2019-10-01,653896.1572587955,3.6879999999999997
2019-11-01,659947.1376713789,3.6950000000000003
2019-12-01,665437.8422607678,3.72
2020-01-01,668663.8720827798,3.624
2020-02-01,670197.9145403933,3.4650000000000003
2020-03-01,670965.7465268174,3.45
2020-04-01,671932.363232477,3.306
2020-05-01,670990.9264844117,3.2325
2020-06-01,668159.2780573036,3.1625
2020-07-01,667842.4415919796,3.016
2020-08-01,672893.907895794,2.935
2020-09-01,683722.9303286714,2.89
2020-10-01,696686.4803620158,2.834
2020-11-01,711042.5789248948,2.765
2020-12-01,724738.7761660236,2.684
2021-01-01,733962.8154924152,2.735
2021-02-01,739717.400007614,2.81
2021-03-01,742915.5908457162,3.0825
2021-04-01,749740.0922078574,3.06
2021-05-01,759415.8290089102,2.9625
2021-06-01,771372.4937536647,2.975
2021-07-01,783119.5809491134,2.868
2021-08-01,792107.3716211729,2.8425000000000002
2021-09-01,799073.0032729289,2.9
2021-10-01,805802.2664797116,3.0675
2021-11-01,814168.013983429,3.0675
2021-12-01,824219.5516762822,3.098
2022-01-01,836303.4890644302,3.4450000000000003
2022-02-01,850598.8251279248,3.7625
2022-03-01,866666.63824435,4.172
2022-04-01,881241.1970910268,4.9825
2022-05-01,892698.3110743492,5.2299999999999995
2022-06-01,899157.4365473036,5.522
2022-07-01,900990.009701361,5.4125
2022-08-01,897907.3445236938,5.2225
2022-09-01,892230.7051610277,6.112
2022-10-01,886952.794450215,6.9
2022-11-01,883199.4752623778,6.805
2022-12-01,880067.1580756567,6.364
2023-01-01,871753.4623845398,6.2725
2023-02-01,860828.179703443,6.2575
2023-03-01,851042.3088252265,6.544
2023-04-01,848660.4883834686,6.342499999999999
2023-05-01,852450.9808163863,6.425
2023-06-01,860263.1184698632,6.714
2023-07-01,871493.4589238497,6.84
2023-08-01,885081.2020503221,7.072
2023-09-01,898800.6802714589,7.2
2023-10-01,910215.4015771372,7.62
2023-11-01,918805.6096353972,7.442
2023-12-01,924199.845689096,6.815
2024-01-01,924353.8018491688,6.6425
2024-02-01,921393.442906942,6.776000000000001
2024-03-01,920273.7761765352,6.82
2024-04-01,923752.4430489696,6.9925
2024-05-01,929666.0976906238,7.06
2024-06-01,933634.2034682198,6.9175
2024-07-01,938027.1640815294,6.8475
2024-08-01,943232.792216848,6.5
2024-09-01,949681.5299328458,6.18
2024-10-01,954923.878447094,6.428
2024-11-01,959440.7091996894,6.805
2024-12-01,963478.0656940473,6.715
2025-01-01,964015.904711712,6.958
2025-02-01,961986.8000472815,6.842499999999999
2025-03-01,956891.1223500372,6.65
2025-04-01,952574.7654241164,6.725
2025-05-01,947802.3905881704,6.816
2025-06-01,943448.9922966966,6.8175
2025-07-01,940857.2647842808,6.720000000000001
2025-08-01,939786.1053923952,6.5875
2025-09-01,940842.7015407588,6.3525
2025-10-01,943258.5655129114,6.254
2025-11-01,946575.4922974302,6.2375
2025-12-01,950534.8113182269,6.1899999999999995
2026-01-01,953064.414891206,6.1025
2026-02-01,954296.0881354932,6.0475
